root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 tcp
17:04:05.069126 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1474212:1474416, ack 181, win 501, length 204
17:04:05.069191 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1474416:1474620, ack 181, win 501, length 204
17:04:05.069247 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1474620:1474824, ack 181, win 501, length 204
17:04:05.069310 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1474824:1475028, ack 181, win 501, length 204
17:04:05.069365 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1475028:1475232, ack 181, win 501, length 204
17:04:05.069419 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1475232:1475436, ack 181, win 501, length 204
17:04:05.069474 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1475436:1475640, ack 181, win 501, length 204
17:04:05.069531 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1475640:1475844, ack 181, win 501, length 204
17:04:05.069585 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1475844:1476048, ack 181, win 501, length 204
17:04:05.069639 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1476048:1476252, ack 181, win 501, length 204
17:04:05.069694 IP 167.99.180.39.ssh > cpeac202e733573-cmac202e733570.cpe.net.cable.rogers.com.51193: Flags [P.], seq 1476252:1476456, ack 181, win 501, length 204
